name,type,subtype,rarity,cost,weight,description,attunement
A Necklace String Of Small Pink Pearls,Treasure,"Art Objects (2,500 Gp)",,2500 gp,0.02, ,FALSE
Abacus,Adventuring Gear,Standard,,2 gp,2, ,FALSE
Absorbing Tattoo,Wondrous Item,,Very Rare (Requires Attunement),"5,001 - 50,000 gp",0," Description Produced by a special needle, this magic tattoo features designs that emphasize one color. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin. If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to a type of damage associated with that color, as shown on the table below. The DM chooses the color or determines it randomly. Damage Absorption. When you take damage of the chosen type, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn. Tattoo Notes Blending magic and artistry with ink and needles, magic tattoos imbue their bearers with wondrous abilities. Magic tattoos are initially bound to magic needles, which transfer their magic to a creature. ",TRUE
Acererak's Scepter,Weapon,Simple Melee,,5 gp,12, This scepter is made of solid iron and has an adamantine head. ,FALSE
Acid (Vial),Adventuring Gear,Standard,common,25 GP,1," When you take the Attack action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d6 Acid damage. ",FALSE
Acid Absorbing Tattoo,Wondrous Item,,Very Rare (Requires Attunement),"5,001 - 50,000 gp",0," Description Produced by a special needle, this magic tattoo features designs that emphasize one color. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin. If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to acid damage Damage Absorption. When you take acid damage, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn. Tattoo Notes Blending magic and artistry with ink and needles, magic tattoos imbue their bearers with wondrous abilities. Magic tattoos are initially bound to magic needles, which transfer their magic to a creature. ",TRUE
Adamantine Arrow,Adventuring Gear,Ammunition,Uncommon,801 ep,0.05," Ammunition is required by a weapon that has the Ammunition property. A weapon's description specifies the type of ammunition used by the weapon. Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Battleaxe,Weapon,Martial Melee Weapons,Uncommon,410 gp,4," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Bolt,Adventuring Gear,Ammunition,Uncommon,"40,005 cp",0.075," Ammunition is required by a weapon that has the Ammunition property. A weapon's description specifies the type of ammunition used by the weapon. Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Breastplate Armor,Armor,Medium Armor,Uncommon,101 - 500 gp,20," Description This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit. Breastplate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered. ",FALSE
