name,description
Acolyte,"You have spent your life in the service of a temple to a specific god or pantheon of gods. You act as an intermediary between the realm of the holy and the mortal world, performing sacred rites and offering sacrifices in order to conduct worshipers into the presence of the divine. You are not necessarily a cleric—performing sacred rites is not the same thing as channeling divine power. Choose a god, a pantheon of gods, or some other quasi-divine being from among those listed or those specified by your DM, and work with your DM to detail the nature of your religious service. Were you a lesser functionary in a temple, raised from childhood⁠ to assist the prie⁠sts in the sacred rites? Or were you a high prie⁠st who suddenly experienced a call to serve your god in a different way? Skill Proficiencies: Insight, Religion Languages: Two of your choice Equipment: A holy symbol⁠ (a gift to you when you entered the priesthood), a prayer book or prayer wheel, 5 sticks of incense, vestments, a set of common clothes, and a pouch containing 15 gp Feature: Shelter of the Faithful As an acolyte, you command⁠ the respect of those who share your faith, and you can perform the religious ceremonies of your deity. You and your adventuring companions can expect to receive free healing and care at a temple, shrine, or other established presence of your faith, though you must provide any material components needed for spells. Those who share your religion will support you (but only you) at a modest lifestyle. You might also have ties to a specific temple dedicated to your chosen deity or pantheon, and you have a residence there. This could be the temple where you used to serve, if you remain on good terms with it, or a temple where you have found a new home. While near your temple, you can call upon the priests for assistance, provided the assistance you ask for is not hazardous and you remain in good standing with your temple. Suggested Characteristics d8 Personality Trait 1 I idolize a particular hero of my faith, and constantly refer to that person’s deeds and example. 2 I can find common⁠ ground between the fiercest enemies, empathizing with them and always working toward peace. 3 I see omens in every event and action. The gods try to speak to us, we just need to listen. 4 Nothing can shake my optimistic attitude. 5 I quote (or misquote) sacred texts and proverbs in almost every situation. 6 I am tolerant (or intolerant) of other faiths and respect (or condemn) the worship of other gods. 7 I’ve enjoyed fine food, drink, and high society among my temple’s elite. Rough living grates on me. 8 I’ve spent so long in the temple that I have little practical experience dealing with people in the outside world. d6 Ideal 1 Tradition. The ancient traditions of worship and sacrifice must be preserved and upheld. (Lawful) 2 Charity. I always try to help those in need, no matter what the personal cost. (Good) 3 Change. We must help bring about the changes the gods are constantly working in the world. (Chaotic) 4 Power. I hope to one day rise to the top of my faith’s religious hierarchy. (Lawful) 5 Faith. I trust that my deity will guide my actions. I have faith that if I work hard, things will go well. (Lawful) 6 Aspiration. I seek to prove myself worthy of my god’s favor by matching my actions against his or her teachings. (Any) d6 Bond 1 I would die to recover an ancient relic of my faith that was lost long ago. 2 I will someday get revenge on the corrupt temple hierarchy who branded me a heretic. 3 I owe my life to the prie⁠st who took me in when my parents died. 4 Everything I do is for the comm⁠on people. 5 I will do anything to protect the temple where I served. 6 I seek to preserve a sacred text that my enemies consider heretical and seek to destroy. d6 Flaw 1 I judge others harshly, and myself even more severely. 2 I put too much trust in those who wield power within my temple’s hierarchy. 3 My piety sometimes leads me to blindly trust those that profess faith in my god. 4 I am inflexible in my thinking. 5 I am suspicious of strangers and expect the worst of them. 6 Once I pick a goal, I become obsessed with it to the detriment of everything else in my life."
Anthropologist,"You have always been fascinated by other cultures, from the most ancient and primeval lost lands to the most modern civilizations. By studying other cultures' customs, philosophies, laws, rituals, religious beliefs, languages, and art, you have learned how tribes, empires, and all forms of society in between craft their own destinies and doom. This knowledge came to you not only through first-hand observation-by visiting far-flung settlements and exploring local histories and customs. Skill Proficiencies: Insight, Religion Languages: Two of your choice. Equipment: A leather-bound diary, a bottle of ink, an ink pen, a set of traveler's clothes, one trinket of special significance, and a pouch containing 10 gp. Cultural Chameleon Before becoming an adventurer, you spent much of your adult life away from your homeland, living among people different from your kin. You came to understand these foreign cultures and the ways of their people, who eventually treated you as one of their own. One culture had more of an influence on you than any other, shaping your beliefs and customs. Choose a race whose culture you've adopted, or roll on the Adopted Culture table. Adopted Culture d8 Culture 1 Aarakocra 2 Dwarf 3 Elf 4 Goblin 5 Halfling 6 Human 7 Lizardfolk 8 Orc Feature: Adept Linguist You can communicate with humanoids who don't speak any language you know. You must observe the humanoids interacting with one another for at least 1 day, after which you learn a handful of impotant words, expressions, and gestures- enough to communicate on a rudimentary level. Suggested Characteristics Anthropologists leave behind the societies into which they were born to discover what life is like in other parts of the world. They seek to see how other races and civilizations survive- or why they did not. Some anthropologists are driven by intellectual curiosity, while others want the fame and recognition that comes with being the first to discover a new people, a lost tribe, or the truth about an ancient empire's downfall. d6 Personality Trait 1 I prefer the company of those who aren't like me, including people of other races. 2 I'm a stickler when it comes to observing proper etiguette and local customs. 3 I would rather observe than meddle. 4 By living among violent people, I have become desensitized to violence. 5 I would risk life and limb to discover a new culture or unravel the secrets of a dead one. 6 When I arrive at a new settlement for the first time, I must learn all its customs. d6 Ideal 1 Discovery. I want to be the first person to discover a lost culture. (Any) 2 Distance. One must not interfere with the affairs of another culture-even one in need of aid. (Lawful) 3 Knowledge. By understanding other races and cultures, we learn to understand ourselves. (Any) 4 Power. Common people crave strong leadership, and I do my utmost to provide it. (Lawful) 5 Protection. I must do everything possible to save a society facing extinction. (Good) 6 Indifferent. Life is cruel. What's the point in saving people if they're going to die anyway? (Chaotic) d6 Bond 1 My mentor gave me a journal filled with lore and wisdom. Losing it would devastate me. 2 Having lived among the people of a primeval tribe or clan, I long to return and se how they are faring. 3 Years ago, tragedy struck the members of an isolated society I befrended, and I will honor them. 4 I want to learn more about a particular humanoid culture that fascinates me. 5 I seek to avenge a clan, tribe, kingdom, or empire that was wiped out. 6 I have a trinket that I believe is the key to finding a long-lost society. d6 Flaw 1 Boats make me seasick. 2 I talk to myself, and I don't make friends easily. 3 I believe that I'm intellectually superior to people from other cultures and have much to teach them. 4 I've picked up some unpleasant habits living among goblins, lizardfolk, or orcs. 5 I complain about everything. 6 I wear a tribal mask and never take it off."
Archaeologist,"An archaeologist learns about the long-lost and fallen cultures of the past by studying their remains—their bones, their ruins, their surviving masterworks, and their tombs. Those who practice archaeology travel to the far corners of the world to root through crumbled cities and lost dungeons, digging in search of artifacts that might tell the stories of monarchs and high priests, wars and cataclysms. Skill Proficiencies: History, Survival Tool Proficiencies: Cartographer's tools or navigator's tools Languages: One of your choice Equipment: A wooden case containing a map to a ruin or dungeon, a bullseye lantern, a miner's pick, a set of traveler's clothes, a shovel, a two-person tent, a trinket recovered from a dig site, and a pouch containing 25 gp Dust Digger Prior to becoming an adventurer, you spent most of your young life crawling around in the dust, pilfering relics of questionable value from crypts and ruins. Though you managed to sell a few of your discoveries and earn enough coin to buy proper adventuring gear, you have held onto an item that has great emotional value to you. Roll on the Signature Item table to see what you have, or choose an item from the table. Signature Item d8 Item 1 10-foot pole 2 Crowbar 3 Hat 4 Hooded lantern 5 Medallion 6 Shovel 7 Sledgehammer 8 Whip Feature: Historical Knowledge When you enter a ruin or dungeon, you can correctly ascertain its original purpose and determine its builders, whether those were dwarves, elves, humans, yuan-ti, or some other known race. In addition, you can determine the monetary value of art objects more than a century old. Suggested Characteristics Few archaeologists can resist the lure of an unexplored ruin or dungeon, particularly if such a site is the source of legends or is rumored to contain the treasures and relics of wizards, warlords, or royalty. Some archaeologists plunder for wealth or fame, while others consider it their calling to illuminate the past or keep the world's greatest treasures from falling into the wrong hands. Whatever their motivations, archaeologists combine the qualities of a scrappy historian with the self-made heroism of treasure-hunting scoundrel. d8 Trait 1 I love a good puzzle or mystery. 2 I'm a pack rat who never throws anything away. 3 Fame is more important to me than money. 4 I have no qualms about stealing from the dead. 5 I'm happier in a dusty old tomb than I am in the centers of civillization. 6 Traps don't make me nervous. Idiots who trigger traps make me nervous. 7 I might fail, but I will never give up. 8 You might think I'm a scholar, but I love a good brawl. These fists were made for punching. d6 Ideal 1 Preservation. That artifact belongs in a museum. (Good) 2 Greed. I won't risk my life for nothing. I expect some kind of payment. (Any) 3 Death Wish. Nothing is more exhilarating than a narrow escape from the jaws of death. (Chaotic) 4 Dignity. The dead and their belongings deserve to be treated with respect. (Lawful) 5 Immortality. All my exploring is part of a plan to find the secret of everlasting life. (Any) 6 Danger. With every great discovery comes grave danger. The two walk hand in hand. (Any) d6 Bond 1 Ever since I was a child, I've heard stories about a lost city. I aim to find it, learn its secrets, and earn my place in the history books. 2 I want to find my mentor, who disappeared on an expedition some time ago. 3 I have a friendly rival. Only one of us can be the best, and I aim to prove it's me. 4 I won't sell an art object or other treasure that has historical significance or is one of a kind. 5 I'm secretly in love with the wealthy patron who sponsors my archaeological exploits. 6 I hope to bring prestige to a library, a museum, or a university. d6 Flaw 1 I have a secret fear of some common wild animal—and in my work, I see them everywhere. 2 I can't leave a room without searching it for secret doors. 3 When I'm not exploring dungeons or ruins, I get jittery and impatient. 4 I have no time for friends or family. I spend every waking moment thinking about and preparing for my next epedition. 5 When given the choice of going left or right, I always go left. 6 I can't sleep except in total darkness."
Artisan,"Ability Scores Strength, Dexterity, Intelligence Feat Crafter Skill Proficiencies Investigation and Persuasion Tool Proficiency Choose one kind of Artisan’s Tools Equipment Choose A or B: (A) Artisan’s Tools (same as above), 2 Pouches, Traveler’s Clothes, 32 GP; or (B) 50 GP You began mopping floors and scrubbing counters in an artisan’s workshop for a few coppers per day as soon as you were strong enough to carry a bucket. When you were old enough to apprentice, you learned to create basic crafts of your own, as well as how to sweet-talk the occasional demanding customer. Your trade has also given you a keen eye for detail."
Astral Drifter,"For longer than you can remember, you have traversed the Astral Sea. There, you experienced firsthand the wonders of the Silver Void: you stopped aging and no longer felt hunger or thirst. Driven by wanderlust, you drifted from one part of the Astral Sea to another, like a mote of dust on the wind. You have lost count of the decades that have passed since you arrived here. In your travels, you have camped on the petrified hulks of dead gods and narrowly escaped the psychic winds that sweep across the Astral Sea while also avoiding prolonged contact with the plane’s most dangerous denizens. Skill Proficiencies: Insight, Religion Languages: Two of your choice (Celestial or Gith recommended) Equipment: A set of traveler’s clothes, a diary, an ink pen, a bottle of ink, and a pouch containing 10 gp Longevity You are 20d6 years older than you look, because you have spent that much time in the Astral Sea without aging. Feature: Divine Contact You gain the Magic Initiate feat from the Player’s Handbook and must choose cleric for the feat. In the Astral Sea, you crossed paths with a wandering deity. The encounter was brief and nonviolent, yet it made a lasting impression on you. This deity saw fit to share one secret or obscure bit of cosmic lore with you. Work with your DM to determine the details of this knowledge and its impact on the campaign. Roll on the Divine Contact table to determine which deity you encountered, or work with your DM to identify a more suitable choice. Divine Contact d10 Wandering Deity 1 Corellon, god of art and magic 2 Tymora, god of good fortune 3 Fharlanghn, god of horizons and travel 4 Istus, god of fate and destiny 5 Nuada, god of war and warriors 6 Zivilyn, god of wisdom 7 Arawn, god of life and death 8 Hecate, god of magic and moons 9 Celestian, god of stars and wanderers 10 Ptah, god of knowledge and secrets"
Athlete,"Athlete You strive to perfect yourself physically and in execution of everything you do. The thrill of competition lights fire in your blood, and the roar of the crowd drives you forward. Tales of your exploits precede you and might open doors or loosen tongues. Whether in one of the poleis, between them, or among the nonhuman peoples of Theros, physical contests and those who pursue them command respect bordering on reverence. Athletes arise from all walks of life and all cultures and quite often cross paths with one another. Skill Proficiencies: Acrobatics, Athletics Languages: One of your choice Tool Proficiencies: Vehicles (land) Equipment: A bronze discus or leather ball, a lucky charm or past trophy, a set of traveler's clothes, and a pouch containing 10 gp Favored Event While many athletes practice various games and events, most excel at a single form of competition. Roll or choose from the options in the Favored Event table to determine the athletic event in which you excel. Favored Event d8 Favored Event 1 Marathon 2 Long-distance running 3 Wrestling 4 Boxing 5 Chariot or horse race 6 Pankration (mixed unarmed combat) 7 Hoplite race (racing in full armor with a unit) 8 Pentathlon (running, long jump, discus, javelin, wrestling) Feature: Echoes of Victory You have attracted admiration among spectators, fellow athletes, and trainers in the region that hosted your past athletic victories. When visiting any settlement within 100 miles of where you grew up, there is a 50 percent chance you can find someone there who admires you and is willing to provide information or temporary shelter. Between adventures, you might compete in athletic events sufficient enough to maintain a comfortable lifestyle, as per the ""Practicing a Profession"" downtime activity in chapter 8 of the Player's Handbook . Suggested Characteristics Competition can forge strong bonds between teammates and rivals or ignite bitter feuds that burn outside the arena. Athletes often apply lessons from their training to their lives in general. Athlete Personality Traits d8 Personality Trait 1 I feel most at peace during physical exertion, be it exercise or battle. 2 I don’t like to sit idle. 3 I have a daily exercise routine that I refuse to break. 4 Obstacles exist to be overcome. 5 When I see others struggling, I offer to help. 6 I love to trade banter and gibes. 7 Anything worth doing is worth doing best. 8 I get irritated if people praise someone else and not me. Athlete Ideals d6 Ideal 1 Competition. I strive to test myself in all things. (Chaotic) 2 Triumph. The best part of winning is seeing my rivals brought low. (Evil) 3 Camaraderie. The strongest bonds are forged through struggle. (Good) 4 People. I strive to inspire my spectators. (Neutral) 5 Tradition. Every game has rules, and the playing field must be level. (Lawful) 6 Growth. Lessons hide in victory and defeat. (Any) Athlete Bonds d6 Bond 1 My teammates are my family. 2 I will overcome a rival and prove myself their better. 3 My mistake got someone hurt. I’ll never make that mistake again. 4 I will be the best for the honor and glory of my home. 5 The person who trained me is the most important person in my world. 6 I strive to live up to a specific hero’s example. Athlete Flaws d6 Flaw 1 I indulge in a habit that threatens my reputation or my health. 2 I’ll do absolutely anything to win. 3 I ignore anyone who doesn’t compete and anyone who loses to me. 4 I have lingering pain from old injuries. 5 Any defeat or failure on my part is because my opponent cheated. 6 I must be the captain of any group I join."
Azorius Functionary,"The brutes are at the gate, chaos is looming, and the only thing standing in the way of disaster is the foundation of law and order—as embodied in the Azorius Senate . You’re a proud member of the Azorius guild , which both enacts and enforces the laws that make Ravnican society function smoothly and safely. Skill Proficiencies: Insight, Intimidation Languages: Two of your choice Equipment: An Azorius insignia, a scroll containing the text of a law important to you, a bottle of blue ink, a pen, a set of fine clothes, and a belt pouch containing 10 gp (Azorius-minted 1-zino coins) Feature: Legal Authority You have the authority to enforce the laws of Ravnica, and that status inspires a certain amount of respect and even fear in the populace. People mind their manners in your presence and avoid drawing your attention; they assume you have the right to be wherever you are. Showing your Azorius insignia gets you an audience with anyone you want to talk to (though it might cause more problems than it solves when you’re dealing with incorrigible lawbreakers). If you abuse this privilege, though, you can get in serious trouble with your superiors and even be stripped of your position. Azorius Guild Spells Prerequisite: Spellcasting or Pact Magic class feature For you, the spells on the Azorius Guild Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Azorius Guild Spells Spell Level Spells Cantrip friends , message 1st command , ensnaring strike 2nd arcane lock , calm emotions , hold person 3rd clairvoyance , counterspell 4th compulsion , divination 5th dominate person Your magic often takes the form of blue or golden runes floating and glowing in the air in circular patterns or of shimmering azure barriers of magical energy. If you cast ensnaring strike, for example, the vines created by the spell might appear as rune-inscribed glowing bands that wrap around the target and hold it in place. Suggested Characteristics Members of the Azorius Senate tend toward a demeanor of cold dignity and a pragmatic, orderly nature. Steeped in the law as they are, their ideals and priorities revolve around legal issues. Personality Traits d8 Trait 1 I try never to let my judgment become clouded by emotion. 2 I have infinite patience with the dolts and boors I’m forced to deal with every day. 3 When I give an order, I expect it to be obeyed. 4 I just want things the way I like them: neat, orderly, and clean. 5 No wrongdoing can escape my watchful gaze. 6 I always say exactly what I mean, no matter how many words it takes to communicate the particular nuance I am attempting to convey. 7 I’m very literal and don’t appreciate metaphor or sarcasm. 8 I never change my mind once it’s made up. Ideals d6 Ideal 1 Guild. My guild is all that really matters. (Any) 2 Order. The law is meant to ensure that the gears of society turn smoothly and quietly. (Lawful) 3 Peace. The ultimate object of the law is to remove violence from society. (Good) 4 Compliance. Coercion is a fine way of ensuring that the laws are obeyed. (Lawful) 5 Legislation. The law embodies excellence in its precision and detail. (Lawful) 6 Punishment. A public display of consequences is an excellent deterrent for other criminals. (Evil) Bonds d6 Bond 1 I am beholden to an Azorius arrester who captured the criminal who killed my parents, saving me from the same fate. 2 I hope one day to write the laws, not just enforce them. 3 I tried and failed to prevent a murder, and I have sworn to find and arrest the perpetrator. 4 I successfully prevented a murder, and the would-be perpetrator wants me dead. 5 One of my parents was prominent in the guild, and I resent constantly being compared to that standard. 6 I’ve modeled my career after a highly respected lawmage or arrester, but I fear that my role model might be involved in something illegal. Flaws d6 Flaw 1 I’m unable to distinguish between the letter and the spirit of the law. 2 I seem like a harsh judge to others, but I judge myself most harshly of all. 3 I have a secret, illegal vice. 4 I was traumatized by witnessing a crime as a child. 5 I’m incapable of deception. 6 I wish I had joined the Boros , but I fear they’d never accept me."
Boros Legionnaire,"As a member of the Boros Legion , your life is devoted to the service of angels and consecrated to the work of establishing justice and peace on the streets of Ravnica. You might be a true believer, inspired by the example of the angels, moved by the plight of the downtrodden, and devoted to the cause of justice. Or you could be a cynic in the ranks, perhaps because you reluctantly followed in the footsteps of a Boros parent, succumbed to the persuasion of a charismatic recruiter’s lofty promises, or were drawn in by the prospect of a life of action. Skill Proficiencies: Athletics, Intimidation Tool Proficiencies: One type of gaming set Languages: Choose one of Celestial, Draconic, Goblin, or Minotaur Equipment: A Boros insignia, a feather from an angel’s wing, a tattered piece of a Boros banner (a souvenir from a famous battle), a set of common clothes, and a belt pouch containing 2 gp ( Boros -minted 1-zino coins) Feature: Legion Station You have an established place in the hierarchy of the Boros Legion . You can requisition simple equipment for temporary use, and you can gain access to any Boros garrison in Ravnica, where you can rest in safety and receive the attention of medics. You are also paid a salary of 1 gp (a Boros -minted 1-zino coin) per week, which (combined with free lodging in your garrison) enables you to maintain a poor lifestyle between adventures. Boros Guild Spells Prerequisite: Spellcasting or Pact Magic class feature For you, the spells on the Boros Guild Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Boros Guild Spells Spell Level Spells Cantrip fire bolt , sacred flame 1st guiding bolt , heroism 2nd aid , scorching ray 3rd beacon of hope , blinding smite 4th death ward , wall of fire 5th flame strike Your magic often features dramatic bursts of flame or radiance. When you cast beneficial spells on your allies, they appear momentarily surrounded with halos of bright fire. Suggested Characteristics The Boros Legion is a zealous army, full of righteous energy tempered with military discipline. Its members share its leadership’s devotion to the ideals of justice, or they find satisfaction in the more warfare-oriented aspects of the legion’s work. Personality Traits d8 Personality Traits 1 I approach every task with the same high degree of military precision. 2 I am always the first into the fray. 3 I bear any injury or indignity with stoic discipline. 4 My righteous wrath is easily inflamed by the slightest iniquity. 5 My honor is more important to me than my life. 6 Dangerous work is best accomplished by an orderly group working with common purpose. 7 I treat my weapons, uniform, and insignia with reverence, for they are gifts from the angels. 8 I pace when standing and fidget incessantly when forced to sit. Ideals d6 Ideal 1 Guild. My guild is all that really matters. (Any) 2 Justice. Achieving justice requires establishing fair, equitable, and compassionate relationships within a community. (Good) 3 Protection. It isn’t right for innocents to suffer because of the arrogance of the powerful. (Good) 4 Solidarity. It is most crucial to act with a single will, marching side by side in perfect accord. (Lawful) 5 Order. Society functions only if people do their duty and respect the chain of command. (Lawful) 6 Conviction. Anything worth doing is worth doing with your whole heart. (Lawful) Bonds d6 Bond 1 I would lay down my life for Aurelia and the angels. 2 I owe my life to the Boros captain who took me in when I was living on the streets. 3 My fellow legionnaires are my family. 4 I wield the same Boros weapon my grandparent did, for the honor of our family. 5 I ran with the Rakdos in my youth, and I’m striving to atone for my past misdeeds. 6 I do what I can to help out the spouse of a comrade who died in battle. Flaws d6 Flaw 1 I act bravely when I’m in a group, but I’m a coward when I’m alone. 2 I see everything in clear-cut black and white. 3 I’m just a little fascinated by the ways of the Gruul . 4 I trust the chain of command more than anything—more even than my closest friends. 5 I’m slow to trust members of other guilds. 6 I’ve been known to turn a blind eye to injustice, with the help of a modest bribe."
Celebrity Adventurer's Scion,"Your family name strikes fear and admiration in the hearts of the common folk—but that’s got nothing to do with you. Songs and stories celebrating the adventuring exploits of your famous parent are widely known. Kids across the land grew up wishing they were you. But being the child of a famous adventurer wasn’t all hugs and kisses. You seldom saw your celebrity-adventurer parent, and when they were around, it was all about them and tales of slaying this demon or vanquishing that dragon. All too often, you’d be woken out of a sound sleep by someone standing outside your home screaming about the latest threat to the town, the region, or the world. In the end, all you have to show for your lineage is your name. Most of the family’s money went for consumables, from potions of healing and spell scrolls to copious amounts of dwarven ale. And everyone expects you to swing a sword or sling spells like your famous forebear, making it doubly hard for you to prove yourself. Skill Proficiency: Perception, Performance Tool Proficiencies: Disguise kit Languages: Two of your choice Equipment: Disguise kit, a set of fine clothes, and a belt pouch containing 30 gp Feature: Name Dropping You know and have met any number of powerful people across the land—and some of them might even remember you. You might be able to wrangle minor assistance from a major figure in the campaign, at the DM’s discretion. Additionally, the common folk treat you with deference, and your heritage and the stories you tell might be good for a free meal or a place to sleep. Suggested Characteristics Scions of celebrity adventurers must deal with fame that’s not theirs, wealth they didn’t earn, and expectations they can never hope to meet. These hardships can have adverse effects, but those who cope with them can arrive at a decent attitude and a grounded worldview. Those who fail become bitter—or worse. d8 Personality Trait 1 I will never get out of my famous parent’s shadow, and no one else will ever understand this burden. 2 I’ve seen enough of the adventuring life to have realistic expectations and empathy for my peers. 3 Living up to my legacy will be difficult, but I’m going to do it. 4 I’m used to the very best in life, and that’s a hard habit to break. 5 My parent taught me a sense of duty. I strive to uphold it, even when the odds are against me. 6 No one can fake a smile, a handshake, or an interested nod like I can. 7 I’ve been part of the adventuring life since I was old enough to walk. Let me explain a few things to you. 8 No risk is too great for the rewards of defeating my enemies … and taking their stuff. d6 Ideal 1 Power. The only way to get ahead in this world is to attain power and hold onto it with all your might. (Evil) 2 Peace. Those who can find or make peace in the chaotic world around them have everything. (Lawful) 3 Fame. I’ve seen what fame can bring. And I’ll do anything to get all that for myself. (Neutral) 4 Training. Hard work, sacrifice, and training lead to success—and eventually to perfection. (Any) 5 Anonymity. I want to be successful. And alone. With lots of guards and wards between me and everyone else in the world. (Any) 6 Wisdom. Material wealth is an illusion. Wisdom is the real treasure. (Good) d6 Bond 1 While my parent was out adventuring, a servant raised me, and I care about that person more than anyone. 2 I consider every member of my parent’s former adventuring party to be family. 3 Despite their absences, my famous parent was kind and generous. I love them and want to make them proud. 4 My parent once brought a cursed magic item home. It is my obsession. 5 My childhood home holds all my best memories, and its upkeep is my primary concern. 6 Growing up, I had an imaginary friend I could always count on. That friend is still with me. d6 Flaw 1 You don’t know what I’m going through. You never can. 2 You. Fetch my cloak. And maybe rub my feet for a while. 3 My comrades are brave, but I must defeat this threat alone to prove my worth. 4 Oh, yeah, that spell? Named after my parent’s best friend. Let me tell you about them. 5 My best days are behind me. Ahead lies only toil, pain, and death. 6 You have to look out for yourself. No one else will."
Charlatan,"Ability Scores Dexterity, Constitution, Charisma Feat Skilled Skill Proficiencies Deception and Sleight of Hand Tool Proficiency Forgery Kit Equipment Choose A or B: (A) Forgery Kit, Costume, Fine Clothes, 15 GP; or (B) 50 GP Once you were old enough to order an ale, you soon had a favorite stool in every tavern within ten miles of where you were born. As you traveled the circuit from public house to watering hole, you learned to prey on unfortunates who were in the market for a comforting lie or two—perhaps a sham potion or forged ancestry records."
