name,description,Type,Rarity,Attunement,Properties
1st Level Spell Scroll,"1st Level Spell Scroll Scroll, common A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost. If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a success, you cast the spell; on a failure, the spell disappears from the scroll with no other effect. The level of the spell on the scroll determines the spell’s saving throw DC and attack bonus, as well as the scroll’s rarity, as shown in the Spell Scroll table. Spell Scroll Spell Level Rarity Save DC Attack Bonus 1st Common 13 +5",Scroll,common,,
2nd Level Spell Scroll,"2nd Level Spell Scroll Scroll, Uncommon A spell scroll bears the words of a single spell, written in a mystical cipher. If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components. Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast, the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost. If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell’s level. On a success, you cast the spell; on a failure, the spell disappears from the scroll with no other effect. The level of the spell on the scroll determines the spell’s saving throw DC and attack bonus, as well as the scroll’s rarity, as shown in the Spell Scroll table. Spell Scroll Spell Level Rarity Save DC Attack Bonus 2nd Uncommon 13 +5",Scroll,uncommon,,
Abacus,Abacus Adventuring gear Weight : 2,Adventuring Gear,,,
Abracadabrus,"An abracadabrus is an ornate, gemstone-studded wooden chest that weighs 25 pounds while empty. Its interior compartment is a cube measuring 1½ feet on a side. The chest has 20 charges. A creature can use an action to touch the closed lid of the chest and expend 1 of the chest’s charges while naming one or more nonmagical objects (including raw materials, foodstuffs, and liquids) worth a total of 1 gp or less. The named objects magically appear in the chest, provided they can all fit inside it and the chest doesn’t contain anything else. For example, the chest can conjure a plate of strawberries, a bowl of hot soup, a flagon of water, a stuffed animal, or a bag of twenty caltrops. Food and drink conjured by the chest are delicious, and they spoil if not consumed after 24 hours. Gems and precious metals created by the chest disappear after 1 minute. The chest regains 1d20 expended charges daily at dawn. If the item’s last charge is expended, roll a d20. On a 1, the chest loses its magic (becoming an ordinary chest), and its gemstones turn to dust.",Wondrous item,Very Rare,,
Absorbing Tattoo,"Absorbing Tattoo Wondrous item (tattoo), very rare (requires attunement ) Produced by a special needle, this magic tattoo features designs that emphasize one color. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin. If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to a type of damage associated with that color, as shown on the table below. The DM chooses the color or determines it randomly. d10 Damage Type Color 1 Acid Green 2 Cold Blue 3 Fire Red 4 Force White 5 Lightning Yellow 6 Necrotic Black 7 Poison Violet 8 Psychic Silver 9 Radiant Gold 10 Thunder Orange Dama ge Absorption. When you take damage of the chosen type, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn.",Wondrous item (tattoo),very rare,requires attunement,
Accounting and Valuation of All Things,"Wondrous item, artifact (requires attunement) The Accounting and Valuation of All Things is bound in gold leaf, with pages of silver and text of blood. This is a magic tome that functions as a spellbook and arcane focus. You have a +3 bonus to your spell attack and spell save DC. Random Properties. The Accounting and Valuation of All Things has the following random properties: 1 major beneficial property 1 major detrimental property The Soul Trade. One section of the book is dedicated to negotiating and valuing mortal souls. When the book is opened within 10 feet of a creature with a soul, that creature must make a DC 22 Wisdom saving throw. On a failed save, the tome analyzes their greatest desires and calculates exactly what they would need to give up their soul. That information is then displayed within the tome, such that the user can offer a trade to acquire a soul. Creatures that succeed on the saving throw simply show up as a question mark in the book’s pages and are immune to further valuations. Mammon’s Tax. When the Accounting and Valuation of All Things is used as a spellbook, it maintains a unique ability to forcibly acquire souls. Any creature killed by a spell transcribed within the book has their soul ripped from their body and sent to Minauros. This process renders the subject immune to all forms of resurrection aside from True Resurrection . In payment for their soul, Mammon drops gold equal to (20 x CR) or (2 x Level) on their corpse. Negotiation Tactics. The tome is capable of providing some assistance to all negotiations, not just those made for souls. You gain a passive +5 to Charisma (Persuasion) checks made to barter. Additionally, as an action, you can surrender your consciousness to the tome, allowing it to take over. For 1 minute, the Accounting and Valuation of All Things speaks for you, using a +12 Charisma (Persuasion) skill and gaining advantage on your rolls. Using the book in this manner has a corrupting influence, and each use compels you to become increasingly greedy, vain, and evil—much like its original owner, Mammon. When the duration ends, if your alignment is non-evil, you suffer 6d6 necrotic damage. Transcribed Spells. The spellbook section of the Accounting and Valuation of All Things comes with some spells already recorded. For each spell level, roll (1d4–1). The DM will determine the necessary spells of each level that already exist within the tome. If you copy spells from the tome to your own spellbook, the cost in gold is doubled. On the opposite end, copying spells from your spellbook to the tome only costs half the gold it normally would. Destroying the Tome. Destroying the Accounting and Valuation of All Things can be done in two ways. The first option is a simple bribe to Mammon to have him destroy the tome. An offering of 99,999 gp must be made, at midnight, by opening the book and placing the gold inside. If Mammon accepts the offering, the gold melts around the book, then both vanish. The second route, in case Mammon is unavailable or unwilling, is to incinerate the book. To accomplish this task, a pot of platinum (valued at no less than 99,999 gp) must be melted, enough to fully submerge the book. Once the platinum is prepared, dropping the tome into the molten solution melts the tome. The process completely destroys the tome, as well as the platinum.",Wondrous item,artifact,requires attunement,
Acheron Blade,"Acheron Blade Weapon (any sword), rare (requires attunement) The black blade of this sword is crafted from a mysterious arcane alloy. You gain a +1 bonus to attack and damage rolls made with this magic weapon. While the sword is on your person, you are immune to effects that turn undead. Dark Blessing. While holding the sword, you can use an action to give yourself 1d4 + 4 temporary hit points. This property can’t be used again until the next dusk. Disheartening Strike. When you hit a creature with an attack using this weapon, you can fill the target with unsettling dread: the target has disadvantage on the next saving throw it makes before the end of your next turn. The creature ignores this effect if it’s immune to the frightened condition. Once you use this property, you can’t do so again until the next dusk. Roll20 Note: This is a template for creating custom weapons and does not have full drag-and-drop capability.",Melee Weapon,rare,requires attunement,
Acheron Greatsword,"Acheron Greatsword Weapon (greatsword), rare (requires attunement) The black blade of this sword is crafted from a mysterious arcane alloy. You gain a +1 bonus to attack and damage rolls made with this magic weapon. While the sword is on your person, you are immune to effects that turn undead. Dark Blessing. While holding the sword, you can use an action to give yourself 1d4 + 4 temporary hit points. This property can’t be used again until the next dusk. Disheartening Strike. When you hit a creature with an attack using this weapon, you can fill the target with unsettling dread: the target has disadvantage on the next saving throw it makes before the end of your next turn. The creature ignores this effect if it’s immune to the frightened condition. Once you use this property, you can’t do so again until the next dusk. Damage : 2d6+1 Damage Type : Slashing Properties : Heavy, Two-Handed Weight : 6",Melee Weapon,rare,requires attunement,"Heavy, Two-Handed"
Acheron Longsword,"Archeron Longsword Weapon (longsword), rare (requires attunement) The black blade of this sword is crafted from a mysterious arcane alloy. You gain a +1 bonus to attack and damage rolls made with this magic weapon. While the sword is on your person, you are immune to effects that turn undead. Dark Blessing. While holding the sword, you can use an action to give yourself 1d4 + 4 temporary hit points. This property can’t be used again until the next dusk. Disheartening Strike. When you hit a creature with an attack using this weapon, you can fill the target with unsettling dread: the target has disadvantage on the next saving throw it makes before the end of your next turn. The creature ignores this effect if it’s immune to the frightened condition. Once you use this property, you can’t do so again until the next dusk. Damage: 1d8+1 (1d10+1) Damage Type: Slashing Properties: Versatile Weight: 3",Melee Weapon,rare,requires attunement,Versatile
Acheron Rapier,"Acheron Rapier Weapon (rapier), rare (requires attunement) The black blade of this sword is crafted from a mysterious arcane alloy. You gain a +1 bonus to attack and damage rolls made with this magic weapon. While the sword is on your person, you are immune to effects that turn undead. Dark Blessing. While holding the sword, you can use an action to give yourself 1d4 + 4 temporary hit points. This property can’t be used again until the next dusk. Disheartening Strike. When you hit a creature with an attack using this weapon, you can fill the target with unsettling dread: the target has disadvantage on the next saving throw it makes before the end of your next turn. The creature ignores this effect if it’s immune to the frightened condition. Once you use this property, you can’t do so again until the next dusk. Damage : 1d8+1 Damage Type : Piercing Properties : Finesse Weight : 2",Melee Weapon,rare,requires attunement,Finesse
