name,description
Aarakocra,"A winged people who originated on the Elemental Plane of Air, aarakocra soar through the sky wherever they wander. The first aarakocra served the Wind Dukes of Aaqa—mighty beings of air—and were imbued with a measure of their masters’ power over winds. Their descendants still command echoes of that power. From below, aarakocra look like large birds and thus are sometimes called birdfolk. Only when they roost on a branch or walk across the ground is their Humanoid nature clear. Standing upright, aarakocra are typically about 5 feet tall, and they have long, narrow legs that taper to sharp talons. Feathers cover their bodies—usually red, orange, yellow, brown, or gray. Their heads are also avian, often resembling those of parrots or eagles. Aarakocra Traits As an aarakocra, you have the following racial traits. Creature Type. You are a Humanoid. Size. Your size is Medium. Speed. Your walking speed is 30 feet. Flight. Because of your wings, you have a flying speed equal to your walking speed. You can’t use this flying speed if you’re wearing medium or heavy armor. Talons. You have talons that you can use to make unarmed strikes. When you hit with them, the strike deals 1d6 + your Strength modifier slashing damage, instead of the bludgeoning damage normal for an unarmed strike. Wind Caller. Starting at 3rd level, you can cast the gust of wind spell with this trait, without requiring a material component. Once you cast the spell with this trait, you can’t do so again until you finish a long rest. You can also cast the spell using any spell slots you have of 2nd level or higher. Intelligence, Wisdom, or Charisma is your spellcasting ability for it when you cast gust of wind with this trait (choose when you select this race)."
Aasimar,"Whereas tieflings have fiendish blood in their veins, aasimar are the descendants of celestial beings. These folk generally appear as glorious humans with lustrous hair, flawless skin, and piercing eyes. Aasimar often attempt to pass as humans in order to right wrongs and defend goodness on the Material Plane without drawing undue attention to their celestial heritage. They strive to fit into society, although they usually rise to the top, becoming revered leaders and honorable heroes. You might decide to use the aasimar as a counterpoint to the tiefling race. The two races could even be at odds, reflecting some greater conflict between the forces of good and evil in your campaign. Here are our basic goals for the aasimar: Aasimar should make effective clerics and paladins. Aasimar should be to celestials and humans what tieflings are to fiends and humans. Given that aasimar and tieflings are like two sides of the same coin, the tiefling makes a good starting point for coming up with the new race’s traits. Since we want aasimar to be effective paladins and clerics, it makes sense to improve their Wisdom and Charisma instead of Intelligence and Charisma. Like tieflings, aasimar have darkvision. Instead of resistance to fire damage, we give them resistance to radiant damage to reflect their celestial nature. However, radiant damage isn’t as common as fire damage, so we give them resistance to necrotic damage as well, making them good at facing undead. The tiefling’s Infernal Legacy trait is a good model for a similar trait to reflect a magical, celestial heritage, replacing the tiefling’s spells with spells of similar levels that more closely match the aasimar’s celestial ancestry. However, the aasimar’s expanded resistance might require limiting this trait to basic utility spells. Filling in the remaining details, we end up with the following racial traits for the aasimar: Ability Score Increase. Your Wisdom score increases by 1, and your Charisma score increases by 2. Age. Aasimar mature at the same rate as humans but live a few years longer. Alignment. Due to their celestial heritage, aasimar are often good. However, some aasimar fall into evil, rejecting their heritage. Size. Aasimar are built like well-proportioned humans. Your size is Medium. Speed. Your base walking speed is 30 feet. Darkvision. Thanks to your celestial heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray. Celestial Resistance. You have resistance to necrotic damage and radiant damage. Celestial Legacy. You know the light cantrip. Once you reach 3rd level, you can cast the lesser restoration spell once with this trait, and you regain the ability to do so when you finish a long rest. Once you reach 5th level, you can cast the daylight spell once with this trait as a 3rd-level spell, and you regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells. Languages. You can speak, read, and write Common and Celestial."
Air Genasi,"Genasi Tracing their ancestry to the genies of the Elemental Planes, each genasi can tap into the power of one of the elements. Air, earth, fire, and water—these are the four pillars of the Material Plane and the four types of genasi. Some genasi are direct descendants of a genie, while others were born to non-genasi parents who lived near a place suffused by a genie’s magic. A typical genasi has a life span of 120 years. Air Genasi Traits Air genasi are descended from djinn, the genies of the Elemental Plane of Air. Embodying many of the airy traits of their otherworldly ancestors, air genasi can draw upon their connection to the winds. Air genasi’s skin tones include many shades of blue, along with the full range of human skin tones, with bluish or ashen casts. Sometimes their skin is marked by lines that seem like cracks with bluish-white energy spilling out. An air genasi’s hair might blow in a phantom wind or be made entirely of clouds or vapor. As an air genasi, you have the following traits. Creature Type. You are a Humanoid. Size. You are Medium or Small. You choose the size when you select this race. Speed. Your walking speed is 35 feet. Darkvision. You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray. Unending Breath. You can hold your breath indefinitely while you’re not incapacitated. Lightning Resistance. You have resistance to lightning damage. Mingle with the Wind. You know the shocking grasp cantrip. Starting at 3rd level, you can cast the feather fall spell with this trait, without requiring a material component. Starting at 5th level, you can also cast the levitate spell with this trait, without requiring a material component. Once you cast feather fall or levitate with this trait, you can’t cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level. Intelligence, Wisdom, or Charisma is your spellcasting ability for these spells when you cast them with this trait (choose when you select this race)."
Astral Elf,"Long ago, groups of elves ventured from the Feywild to the Astral Plane to be closer to their gods. Life in the Silver Void has imbued their souls with a spark of divine light. That light manifests as a starry gleam in an astral elf’s eyes. Because nothing ages on the Astral Plane, astral elves who inhabit that plane can be very old, and their longevity gives them an unusual perspective on the passage of time. Some are prone to melancholy, while others might display an absence of feeling. Many look for creative ways to occupy themselves. Whether they choose to live in quiet contemplation or strike out to explore the reaches of the multiverse, astral elves tend to see things through the lens of time as having little or no meaning to them. Astral elves who don’t dwell on the Astral Plane can live to be more than 750 years old. Astral Elf Traits As an astral elf player character, you have the following traits. Creature Type. You are a Humanoid. You are also considered an elf for any prerequisite or effect that requires you to be an elf. Size. You are Medium. Speed. Your walking speed is 30 feet. Astral Fire. You know one of the following cantrips of your choice: dancing lights, light , or sacred flame . Intelligence, Wisdom, or Charisma is your spellcasting ability for it (choose when you select this race). Darkvision. You can see in dim light within 60 feet of yourself as if it were bright light, and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray. Fey Ancestry. You have advantage on saving throws you make to avoid or end the charmed condition on yourself. Keen Senses. You have proficiency in the Perception skill. Starlight Step. As a bonus action, you can magically teleport up to 30 feet to an unoccupied space you can see. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest. Astral Trance. You don’t need to sleep, and magic can’t put you to sleep. You can finish a long rest in 4 hours if you spend those hours in a trancelike meditation, during which you remain conscious. Whenever you finish this trance, you gain proficiency in one skill of your choice and with one weapon or tool of your choice, selected from the Player’s Handbook. You mystically acquire these proficiencies by drawing them from shared elven memory and the experiences of entities on the Astral Plane, and you retain them until you finish your next long rest."
Autognome,"Autognomes are mechanical beings built by rock gnomes. Sometimes, because of a malfunction or a unique circumstance, an autognome becomes separated from its creator and strikes out on its own. An autognome bears a resemblance to its creator, and most autognomes are programmed to speak and understand Gnomish. The internal components used in an autognome’s manufacture can vary wildly; one autognome might have an actual beating heart in its chest cavity, while another might be powered by stardust or intricate clockwork gears. Roll on the Autognome History table or choose an entry that you like to identify what event set you on the path to adventure. If nothing on the table appeals to you, work with your DM to create an origin story for your character. Like gnomes, autognomes can live for centuries, typically up to 500 years. Autognome History d6 Story 1 Your creator gave you autonomy and urged you to follow your dreams. 2 Your creator died, leaving you to fend for yourself. 3 A glitch caused you to forget your original programming. You don’t remember who made you or where you came from. 4 You didn’t like how you were being treated by your creator, so you ran away from home. 5 You were built to complete a special mission. 6 You felt trapped in the role for which you were built and abandoned your creator, determined to find a greater purpose. Autognome Traits As an autognome player character, you have the following traits. Creature Type. You are a Construct. Size. You are Small. Speed. Your walking speed is 30 feet. Armored Casing. You are encased in thin metal or some other durable material. While you aren’t wearing armor, your base Armor Class is 13 + your Dexterity modifier. Built for Success. You can add a d4 to one attack roll, ability check, or saving throw you make, and you can do so after seeing the d20 roll but before the effects of the roll are resolved. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest. Healing Machine. If the mending spell is cast on you, you can spend a Hit Die, roll it, and regain a number of hit points equal to the roll plus your Constitution modifier (minimum of 1 hit point). In addition, your creator designed you to benefit from several spells that preserve life but that normally don’t affect Constructs: cure wounds, healing word, mass cure wounds, mass healing word , and spare the dying . Mechanical Nature. You have resistance to poison damage and immunity to disease, and you have advantage on saving throws against being paralyzed or poisoned. You don’t need to eat, drink, or breathe. Sentry’s Rest. When you take a long rest, you spend at least 6 hours in an inactive, motionless state, instead of sleeping. In this state, you appear inert, but you remain conscious. Specialized Design. You gain two tool proficiencies of your choice, selected from the Player’s Handbook ."
Bugbear,"Bugbear Traits Your bugbear character has the following racial traits. Ability Score Increase. Your Strength score increases by 2, and your Dexterity score increases by 1. Age. Bugbears reach adulthood at age 16 and live up to 80 years. Alignment. Bugbears endure a harsh existence that demands each of them to remain self-sufficient, even at the expense of their fellows. They tend to be chaotic evil. Size. Bugbears are between 6 and 8 feet tall and weigh between 250 and 350 pounds. Your size is Medium. Speed. Your base walking speed is 30 feet. Darkvision. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray. Long-Limbed. When you make a melee attack on your turn, your reach for it is 5 feet greater than normal. Powerful Build. You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift. Sneaky. You are proficient in the Stealth skill. Surprise Attack. If you surprise a creature and hit it with an attack on your first turn in combat, the attack deals an extra 2d6 damage to it. You can use this trait only once per combat. Languages. You can speak, read, and write Common and Goblin."
Bugbear (Eberron),"Hoisting the head by the fading plumes of the ruined helmet, still tied under the chin by a cord, Haruuc raised it in one hand and his bloody sword in the other. “Your lord is dead!” he howled in the human language. “The battle is done! By my sword, I claim this place and name it Rhukaan Draal, the crown city of Darguun, the land of the people!” —Don Bassingthwaite, The Doom of Kings The goblinoid species—goblins, hobgoblins, and bug bears—were once the dominant civilization in Khorvaire, with the goblinoid Empire of Dhakaan ruling the continent for thousands of years. It was crippled by a long conflict with the daelkyr and their aberrant armies; even though the daelkyr were defeated, the seeds of madness took root in the empire and tore it apart. Today there are four primary goblinoid cultures in Khorvaire. City Goblins Goblins dwell in most of the major cities of the Five Nations. When humans first came to Khorvaire, they enslaved many goblins and built their cities on the foundations of Dhakaani ruins. Galifar ended the practice of slavery, and these goblins are now citizens of the Five Nations. Gifted goblins can be found in all walks of life, and goblins served in the armies of the Five Nations during the Last War. The Ghaal’dar The Ghaal’dar tribes arose from the remnants of the Dhakaani Empire. Hobgoblins are the leaders of the Ghaal’dar, enforcing their will on their goblin and bug bear peers. The history of the Ghaal’dar is filled with strife; when they weren’t fighting Galifar or Zilargo, the tribes usually turned on one another. This came to an end with the Last War. House Deneith hired Ghaal’dar mercenaries, and this gave focus to the divided tribes. A brilliant hobgoblin, Haruuc, united the Ghaal’dar, and under his leadership they seized control of what is now Darguun (see chapter 2). The aging Lhesh Haruuc remains as the ruler of Darguun, and many fear that his death could throw the region into chaos. As a Ghaal’dar goblinoid, you hold your place through cunning and strength. You may have been a former mercenary now seeking adventure. You could be working as an emissary for one of the Ghaal’dar tribes or even Lhesh Haruuc himself. Or you could have been driven from your tribe by the actions of a rival; perhaps you’re seeking allies to reclaim your birthright. The Marguul The Marguul bugbears threw off the yoke of the Ghaal’dar long ago, seizing territory in the Seawall Mountains in the south of Darguun. They are infamous raiders, and while they have brokered a truce with the Ghaal’dar, anyone venturing into the Seawall Mountains had best travel with a Marguul guide. As a Marguul bugbear, you are savage and proud of it. The Marguul worship the Mockery and believe in victory by any means necessary: there is no such thing as honor on the battlefield. It’s certainly an unusual choice for a player character, but if you’ve taken a liking to a particular group of the small folk, you could be a powerful ally. The Heirs of Dhakaan Though the Dhakaani Empire defeated the alien daelkyr, the war left seeds of corruption strewn throughout the empire. As Dhakaan began to fall, a number of generals and governors gathered their forces and retreated into shelters deep within the earth, determined to preserve their civilization until the Empire could finally be restored. After thousands of years, their descendants have finally emerged, competing among themselves to determine which leader deserves the imperial crown. Once this is settled, they will turn to the conquest of Darguun and Khorvaire. The Dhakaani are far fewer in number than the Ghaal’dar; they had to carefully limit their population in the underground vaults they’ve dwelled in for the past age. However, they have held onto the martial discipline and techniques that allowed their ancestors to dominate the continent. Their weaponsmiths are superior even to the artificers of House Cannith, and they are experts in the working of adamantine and other exotic metals. Anyone who presumes to look down upon goblinoids should be surprised by the skills of the Dhakaani. The Heirs of Dhakaan are an agnostic society and don’t have clerics, paladins, or druids. Their focus is on martial excellence, and their spiritual leaders are bards, who tell tales of past glory. Among the Dhakaan, goblinoids work together. Hobgoblins are the strategists and commanders, typically having the skills of fighters, bards, or rangers. Bugbears cultivate a focused battle rage and are typically barbarians. Goblins are largely artisans and laborers, but exceptional goblins join the khesh’dar (“silent folk”), learning the skills of rogues, monks, or rangers. The khesh’dar spread agents across the Five Nations, and one can never know when a city goblin might turn out to be an assassin. As an adventurer from a Dhakaani clan, consider why are you working with the other player characters? Are you a scout gathering information? Are you searching for allies to defeat a rival clan, or to support your own unlikely bid for the Imperial throne? Are you an exile? If so, do you hope to regain your position, or have you abandoned your ties to the Dhakaani? Goblinoid Names Goblinoid names often feature drawn-out vowel sounds (represented by doubled letters), as seen in the names of both their ancient empire (Dhakaan) and their newborn country (Darguun). Goblins, hobgoblins, and bugbears use the same names and naming conventions, despite their tribal differences. Male Names: Aruget, Chetiin, Daavn, Dabrak, Dagii, Drevduul, Duulan, Fenic, Gudruun, Haluun, Haruuc, Jhazaal, Kallaad, Krakuul, Krootad, Mazaan, Munta, Nasaar, Rakari, Reksiit, Tariic, Taruuzh, Thuun, Vanii, Vanon, Wuudaraj Female Names: Aaspar, Aguus, Belaluur, Denaal, Draraar, Duusha, Ekhaas, Eluun, Graal, Gaduul, Ha- shak, Jheluum, Kelaal, Mulaan, Nasree, Raleen, Razu, Rekseen, Senen, Shedroor, Tajiin, Tuneer, Valii, Wuun Racial Traits If you’re playing a goblinoid, your racial traits are determined by whether you’re a bugbear, goblin, or hobgoblin. Bugbear Traits Your bugbear character has the following racial traits. Ability Score Increase. Your Strength score increases by 2, and your Dexterity score increases by 1. Age. Bugbears reach adulthood at age 16 and live up to 80 years. Alignment. Bugbears live on the fringes of society even in Darguun, where they value self-sufficiency and violence. They are generally chaotic, organizing in loose tribes under charismatic and powerful leaders. Size. Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d12 Height = 6 feet + your size modifier in inches Weight in pounds = 200 + (2d6 × your size modifier) Speed. Your base walking speed is 30 feet. Darkvision. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray. Long-Limbed. When you make a melee attack on your turn, your reach for it is 5 feet greater than normal. Powerful Build. You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift. Sneaky. You are proficient in the Stealth skill. Surprise Attack. If you surprise a creature and hit it with an attack on your first turn in combat, the attack deals an extra 2d6 damage to it. You can use this trait only once per combat. Languages. You can speak, read, and write Common and Goblin."
Centaur,"In the sprawling city of Ravnica, where “open road” seems like a contradiction and “open plain” is sheer nonsense, centaurs nevertheless retain a love of wide spaces and the freedom to travel. As much as they can, centaurs run—in wide plazas, spacious parks, and expanses of rubble and ruin. They race the wind, hooves thundering and tails streaming behind them, until the next wall looms in their path and brings them to a stop. Nature’s Cavalry Centaurs have the upper bodies, down to the waist, of muscular humans, displaying all the human variety of skin tones and features. Their ears are slightly pointed, but their faces are wider and squarer than those of elves. Below the waist, they have the bodies of small horses, with a similar range of coloration—from various shades of chestnut or bay to dappled or even zebra-like striped patterns. Most centaurs style their hair and their tails in a similar way. Selesnya centaurs favor long, flowing hair. Gruul centaurs cut their hair in rough, spiky styles. The upper bodies of centaurs are comparable to human torsos in size, and their lower equine bodies average about 4 feet tall at the withers. Though they are smaller than a human rider mounted on a horse, they fill similar roles as cavalry warriors, messengers, outriders, and scouts. Affinity for Nature Centaurs have an affinity for the natural world. Among the guilds that share that affinity, centaurs favor the rubblebelts of the Gruul Clans and the wide plazas of the Selesnya Conclave over the undercity tunnels of the Golgari and the laboratories of the Simic . Centaurs celebrate life and growth, and the birth of a foal is always cause for festivities. At the same time, they revere the traditions of the past, and among both the Gruul and the Selesnya they are voices of memory and history, preserving old ways and keeping alive the legends of ancestral heroes. They feel a close kinship with wild animals, perhaps because of their own horse-like bodies, and delight in the feeling of running alongside herds and packs of other beasts. Clans and Community Centaurs sense the interconnectedness of the natural world. Thus, they celebrate family and community as microcosms of that greater connection. Among the Gruul , they have a strong clan identity, and Selesnya centaurs are fiercely loyal to their individual communities as well as the guild as a whole. Their love of history and tradition also means that centaurs are more likely than most other Ravnicans to join the same guild that their parents did. Centaur Names Centaurs’ given names are passed down through family lines. The name bestowed on a new foal is typically the name of the most recently deceased family member of the same gender, keeping alive the memory—and, the centaurs believe, some shard of the spirit—of the departed. Centaurs don’t use family names, but they wear symbols that represent their family membership. These symbols might include graphical representations of plants or animals, printed mottoes, braids and beads worn in the hair and tail, or even specific patterns of woven fabric. Male Names: Bonmod, Boruvo, Chodi, Drozan, Kozim, Milosh, Ninos, Oleksi, Orval, Radovas, Radom, Rostis, Svetyos, Tomis, Trijiro, Volim, Vlodim, Yarog Female Names: Daiva, Dunja, Elnaya, Galisnya, Irinya, Kotyali, Lalya, Litisia, Madya, Mira, Nedja, Nikya, Ostani, Pinya, Rada, Raisya, Stasolya, Tatna, Zhendoya, Zoria Centaur Traits Your centaur character has the following racial traits. These traits are also suitable for the centaurs of other worlds where there are centaurs of fey origin. These centaurs are smaller than the non-fey centaurs that roam in some realms. Ability Score Increase. Your Strength score increases by 2, and your Wisdom score increases by 1. Age. Centaurs mature and age at about the same rate as humans. Alignment. Centaurs are inclined toward neutrality. Those who join the Selesnya are more often neutral good, while those who join the Gruul are typically chaotic neutral. Size. Centaurs stand between 6 and 7 feet tall, with their equine bodies reaching about 4 feet at the withers. Your size is Medium. Speed. Your base walking speed is 40 feet. Fey. Your creature type is fey, rather than humanoid. Charge. If you move at least 30 feet straight toward a target and then hit it with a melee weapon attack on the same turn, you can immediately follow that attack with a bonus action, making one attack against the target with your hooves. Hooves. Your hooves are natural melee weapons, which you can use to make unarmed strikes. If you hit with them, you deal bludgeoning damage equal to 1d4 + your Strength modifier, instead of the bludgeoning damage normal for an unarmed strike. Equine Build. You count as one size larger when determining your carrying capacity and the weight you can push or drag. In addition, any climb that requires hands and feet is especially difficult for you because of your equine legs. When you make such a climb, each foot of movement costs you 4 extra feet, instead of the normal 1 extra foot. Survivor. You have proficiency in one of the following skills of your choice: Animal Handling, Medicine, Nature, or Survival. Languages. You can speak, read, and write Common and Sylvan. Sylvan is widely spoken in the Selesnya Conclave, for it is rich in vocabulary to describe natural phenomena and spiritual forces."
Changeling,"With ever-changing appearances, changelings reside in many societies undetected. Each changeling can supernaturally adopt any face they like. For some changelings, a new face is only a disguise. For other changelings, a new face may reveal an aspect of their soul. The first changelings in the multiverse appeared in the Feywild, and the wondrous, mutable essence of that plane lingers in changelings today—even in those changelings who have never set foot in the fey realm. Each changeling decides how to use their shape-shifting ability, channeling either the peril or the joy of the Feywild. Sometimes they adopt new forms for the sake of mischief or malice, and other times they don a new identity to right wrongs or delight the downtrodden. In their true form, changelings appear faded, their features almost devoid of detail. It is rare to see a changeling in that form, for a typical changeling changes their shape the way others might change clothes. A casual shape—one created on the spur of the moment, with no depth or history—is called a mask. A mask can be used to express a mood or to serve a specific purpose and then might never be used again. However, many changelings develop identities that have more depth, crafting whole personas complete with histories and beliefs. A changeling adventurer might have personas for many situations, including negotiation, investigation, and combat. Personas can be shared by multiple changelings; a community might be home to three healer changelings, with whoever is on duty adopting the persona of Andrea, the gentle physician. Personas can even be passed down through a family, allowing a younger changeling to take advantage of contacts established by the persona’s previous users. Changeling Traits As a changeling, you have the following racial traits. Creature Type. You are a Fey. Size. You are Medium or Small. You choose the size when you select this race. Speed. Your walking speed is 30 feet. Changeling Instincts. Thanks to your connection to the fey realm, you gain proficiency with two of the following skills of your choice: Deception, Insight, Intimidation, Performance, or Persuasion. Shapechanger. As an action, you can change your appearance and your voice. You determine the specifics of the changes, including your coloration, hair length, and sex. You can also adjust your height and weight and can change your size between Medium and Small. You can make yourself appear as a member of another race, though none of your game statistics change. You can’t duplicate the appearance of an individual you’ve never seen, and you must adopt a form that has the same basic arrangement of limbs that you have. Your clothing and equipment aren’t changed by this trait. You stay in the new form until you use an action to revert to your true form or until you die."
Changeling (Eberron),"Long ago there was a woman named Jes, and she had one hundred children. Her rivals conspired against her and swore to kill her children. Jes begged the Sovereigns for help, but their only answer was the wind and rain. In the depths of her despair, a lonely traveler took her hand. “I will protect your children if they follow my path. Let them wander the world. They may be shunned and feared, but they will never be destroyed.” Jes agreed, and the traveler gave her his cloak. When she draped it over her children, their old faces melted away and they could be whoever they wanted to be. And so it remains. Though the children are shunned by all, the gift of the Traveler protects them still. —Chance, changeling priest Changelings can shift their forms with a thought. Many changelings use this gift as a form of artistic and emotional expression. It’s also an invaluable tool for grifters, spies, and others who wish to deceive. This leads many people to treat changelings with suspicion. A Hidden People Wherever humans live, changelings reside also; the question is whether their presence is known. Changelings are born to one of three paths. A few are raised in stable communities where changelings are true to their nature and deal openly with the people around them. Some are orphans, raised by other races, who find their way in the world without ever knowing another like themselves. Others are part of nomadic changeling clans spread across the Five Nations, fam- ilies who keep their true nature hidden from the single-skins. Some clans maintain safe havens in major cities and communities, but most prefer to wander the unpredictable path of the god known as the Traveler. In creating a changeling adventurer, consider the character’s relationships with people around them. Does the character conceal their true changeling nature? Do they embrace it? Do they have connections to other changelings or are they alone and in search of companions? Masks and Personas In their true form, changelings are pale, with colorless eyes and silver-white hair. It is rare to see a changeling in that form, for a typical changeling changes their shape the way others might change clothes. A casual shape— one created on the spur of the moment, with no depth or history—is called a mask. A mask can be used to express a mood or to serve a specific purpose and then might never be used again. However, many changelings develop identities that have more depth. They build an identity over time, crafting a persona with a history and beliefs. This focused identity helps a changeling pinpoint a particular skill or emotion. A changeling adventurer might have personas for many situations, including negotiation, investigation, and combat. Personas can be shared by multiple changelings; there might be three healers in a community, but whoever is on duty will adopt the persona of Tek, the kindly old medic. Personas can even be passed down through a family, allowing a younger changeling to take advantage of contacts established by the persona’s previous users. Changeling Names A changeling might use a different name for each mask and persona and adopt new names as easily as they change faces. The true name of a changeling tends to be simple and monosyllabic; however, there are often accents to a changeling’s name that are expressed through shapeshifting, something single-skins will likely miss. So, two changelings might have the name Jin, but one is Jin-with-vivid-blue-eyes and one is Jin-with-golden-nails . Changelings have a fluid relationship with gender, see- ing it as one characteristic to change among many. Changeling Names: Aunn, Bin, Cas, Dox, Fie, Hars, Jin, Lam, Mas, Nix, Ot, Paik, Ruz, Sim, Toox, Vil, Yug Changeling Traits Your changeling character has the following traits. Ability Score Increase. Your Charisma score increases by 2. In addition, one other ability score of your choice increases by 1. Age. Changelings mature slightly faster than humans but share a similar lifespan—typically a century or less. While a changeling can transform to conceal their age, the effects of aging affect them similarly to humans. Alignment. Changelings tend toward pragmatic neutrality, and few changelings embrace evil. Size. Your size is Medium. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d4 Height = 5 feet + 1 inch + your size modifier in inches Weight in pounds = 115 + (2d4 × your size modifier) Speed. Your base walking speed is 30 feet. Shapechanger. As an action, you can change your appearance and your voice. You determine the specifics of the changes, including your coloration, hair length, and sex. You can also adjust your height and weight, but not so much that your size changes. You can make yourself appear as a member of another race, though none of your game statistics change. You can’t duplicate the appearance of a creature you’ve never seen, and you must adopt a form that has the same basic arrangement of limbs that you have. Your clothing and equipment aren’t changed by this trait. You stay in the new form until you use an action to revert to your true form or until you die. Changeling Instincts. You gain proficiency with two of the following skills of your choice: Deception, Insight, Intimidation, and Persuasion. Languages. You can speak, read, and write Common and two other languages of your choice."
