name,description,Level,School,Components,DamageType,CastingTime,Range,Save
Abi-Dalzim's Horrid Wilting,"8th-Level Necromancy Casting Time : 1 action Rang e: 15 0 feet Components: V, S, M (a bit of sponge) Duration : Instantaneous You draw the moisture from every creature in a 30-foot cube centered on a point you choose within range. Each creature in that area must make a Constitution saving throw. Constructs and undead aren’t affected, and plants and water elementals make this saving throw with disadvantage. A creature takes 10d8 necrotic damage on a failed save, or half as much damage on a successful one.",8,Necromancy,"V, S, M",Necrotic,1 action,150 feet,Constitution
Absorb Elements,"1st-Level Abjuration Casting Time : 1 reaction, which you take when you take acid, cold, fire, lightning, or thunder damage Rang e: Self Components: S Duration : 1 round The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering damage type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type, and the spell ends. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st.",1,Abjuration,S,See text,"1 reaction, which you take when you take acid, cold, fire, lightning, or thunder damage",Self,
Acid Splash,"Conjuration Cantrip Casting Time: 1 action Range: 60 feet Components: V, S Duration: Instantaneous You hurl a bubble of acid. Choose one creature you can see within range, or choose two creatures you can see within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage. This spell's damage increase by 1d6 when you reach 5th level (2d6), 11th (3d6), and 17th level (4d6).",0,Conjuration,V S,Acid,1 action,60 feet,Dexterity
Aganazzar's Scorcher,"2nd-Level Evocation Casting Time: 1 action Range: 30 feet Components: V, S, M (A red dragon's scale) Duration: Instantaneous A line of roaring flame 30 feet long and 5 feet wide emanates from you in a direction you choose. Each creature in the line must make a Dexterity saving throw. A creature takes 3d8 fire damage on a failed save, or half as much damage on a successful one. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",2,Evocation,V S M,Fire,1 action,30 feet,Dexterity
Aid,"2nd-Level Abjuration Casting Time : 1 action Rang e: 3 0 feet Components: V, S, M (A tiny strip of white cloth) Duration : 8 hours Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target’s hit point maximum and current hit points increase by 5 for the duration. At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, a target’s hit points increase by an additional 5 for each slot level above 2nd.",2,Abjuration,V S M,,1 action,30 feet,
Air Bubble,"2nd-Level Conjuration Casting Time : 1 action Rang e: 60 feet Components: S Duration : 24 hours You create a spectral globe around the head of a willing creature you can see within range. The globe is filled with fresh air that lasts until the spell ends. If the creature has more than one head, the globe of air appears around only one of its heads (which is all the creature needs to avoid suffocation, assuming that all its heads share the same respiratory system). At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can create two additional globes of fresh air for each slot level above 2nd.",2,Conjuration,S,,1 action,,
Alarm,"Level 1 Abjuration (Ranger, Wizard) Casting Time: 1 minute or Ritual Range: 30 feet Components: V, S, M (a bell and silver wire) Duration: 8 hours You set an alarm against intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot Cube . Until the spell ends, an alarm alerts you whenever a creature touches or enters the warded area. When you cast the spell, you can designate creatures that won’t set off the alarm. You also choose whether the alarm is audible or mental: Audible Alarm. The alarm produces the sound of a handbell for 10 seconds within 60 feet of the warded area. Mental Alarm. You are alerted by a mental ping if you are within 1 mile of the warded area. This ping awakens you if you’re asleep.",1,Abjuration,V S M,,1 minute or Ritual,30 ft (20 ft □),
Alter Self,"Level 2 Transmutation (Sorcerer, Wizard) Casting Time: Action Range: Self Components: V, S Duration: Concentration, up to 1 hour You alter your physical form. Choose one of the following options. Its effects last for the duration, during which you can take a Magic action to replace the option you chose with a different one. Aquatic Adaptation. You sprout gills and grow webs between your fingers. You can breathe underwater and gain a Swim Speed equal to your Speed . Change Appearance. You alter your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and other distinguishing characteristics. You can make yourself appear as a member of another species, though none of your statistics change. You can’t appear as a creature of a different size, and your basic shape stays the same; if you’re bipedal, you can’t use this spell to become quadrupedal, for instance. For the duration, you can take a Magic action to change your appearance in this way again. Natural Weapons. You grow claws ( Slashing ), fangs ( Piercing ), horns ( Piercing ), or hooves ( Bludgeoning ). When you use your Unarmed Strike to deal damage with that new growth, it deals 1d6 damage of the type in parentheses instead of dealing the normal damage for your Unarmed Strike , and you use your spellcasting ability modifier for the attack and damage rolls rather than using Strength .",2,Transmutation,V S,"Bludgeoning, slashing, or piercing",Action,,
Animal Friendship,"Level 1 Enchantment (Bard, Druid, Ranger) Casting Time: Action Range: 30 feet Components: V, S, M (a morsel of food) Duration: 24 hours Target a Beast that you can see within range. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. If you or one of your allies deals damage to the target , the spells ends. Using a Higher-Level Spell Slot. You can target one additional Beast for each spell slot level above 1.",1,Enchantment,V S M,,Action,,Wisdom
Animal Messenger,"Level 2 Enchantment (Bard, Druid, Ranger) Casting Time: Action or Ritual Range: 30 feet Components: V, S, M (a morsel of food) Duration: 24 hours A Tiny Beast of your choice that you can see within range must succeed on a Charisma saving throw , or it attempts to deliver a message for you (if the target’s Challenge Rating isn’t 0, it automatically succeeds). You specify a location you have visited and a recipient who matches a general description, such as “a person dressed in the uniform of the town guard” or “a red-haired dwarf wearing a pointed hat.” You also communicate a message of up to twenty-five words. The Beast travels for the duration toward the specified location, covering about 25 miles per 24 hours or 50 miles if the Beast can fly. When the Beast arrives, it delivers your message to the creature that you described, mimicking your communication. If the Beast doesn’t reach its destination before the spell ends, the message is lost, and the Beast returns to where you cast the spell. Using a Higher-Level Spell Slot. The spell’s duration increases by 48 hours for each spell slot level above 2.",2,Enchantment,V S M,,Action or Ritual,,Charisma
